,id,tags,light,point,region,scheme,address,weather,category,datetime,severity,dead_count,injured_count,parent_region,participants_count,participant_categories,geometry,participant_role,participant_gender,participant_health_status,vehicle_year,vehicle_brand,vehicle_color,vehicle_model,vehicle_category,status_role,status_gender,status_health_status,status_years_of_driving_experience,status_violations_cluster_categories,participant_violations_cluster_categories,nearby_cluster_categories,road_conditions_cluster_categories
353,2630093,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.495577, 'long': 44.580503}",Малгобекский район,200.0,"г Малгобек, ул Широкая, 1",['Ясно'],Столкновение,2021-09-19 01:50:00,Тяжёлый,0,2,Республика Ингушетия,3,['Все участники'],POINT (44.580503 43.495577),,,,2011.0,ВАЗ,Белый,Priora,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",,"""Accident Due to Control by Person Without Driving Rights""","""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,Absence of Lighting on Dry Roads
354,2630094,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.363464, 'long': 44.730781}",Малгобекский район,210.0,"с Средние Ачалуки, ул Цечоева, 78",['Ясно'],Столкновение,2021-09-12 14:40:00,Тяжёлый,0,2,Республика Ингушетия,3,['Все участники'],POINT (44.730781 43.363464),,,,2003.0,ВАЗ,Серый," Жигули  ВАЗ-2108, 09 и модификации                       ","В-класс (малый) до 3,9 м",Пассажир,Мужской,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Residential Areas with Individual Houses,Unsatisfactory Absence of Road Conditions
355,2530575,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.504472, 'long': 44.570074}",Малгобекский район,140.0,"г Малгобек, ул Физкультурная, 112",['Пасмурно'],Столкновение,2020-12-23 13:30:00,Легкий,0,3,Республика Ингушетия,3,['Все участники'],POINT (44.570074 43.504472),,,,2004.0,ВАЗ,Зеленый," Жигули  ВАЗ-2108, 09 и модификации                       ","С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Скончался на месте ДТП до приезда скорой медицинской помощи,2.0,Speed Limit Violation,"""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Wet Roads Accidents"""
356,2448511,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.352942, 'long': 44.712548}",Малгобекский район,610.0,"с Верхние Ачалуки, ул Шоссейная",['Ясно'],Наезд на препятствие,2016-08-02 20:00:00,С погибшими,1,0,Республика Ингушетия,1,"['Все участники', 'Мотоциклисты']",POINT (44.712548 43.352942),,,,,Прочие марки ТС,Синий,Прочие марки и модели ТС,Мопеды с двигателем внутреннего сгорания более 50 см. куб.,Водитель,Мужской,Не пострадал,,"""Accident Due to Control by Person Without Driving Rights""","""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Dry Road Conditions"""
357,2449016,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']",Светлое время суток,"{'lat': 43.511801, 'long': 44.604365}",Малгобекский район,430.0,"г Малгобек, ул Промышленная, 2",['Пасмурно'],Столкновение,2016-06-07 11:00:00,Тяжёлый,0,3,Республика Ингушетия,5,"['Все участники', 'Дети']",POINT (44.604365 43.511801),,,,2011.0,КАМАЗ,Оранжевый,6520,Самосвалы,Пассажир,Мужской,Скончался на месте ДТП до приезда скорой медицинской помощи,,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Poor Visibility and Bad Road Condition"""
358,2448445,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.435049, 'long': 44.773954}",Малгобекский район,940.0,"Иные, 2 км",['Ясно'],Съезд с дороги,2020-02-28 06:50:00,С погибшими,2,0,Республика Ингушетия,2,['Все участники'],POINT (44.773954 43.435049),,,,2007.0,ВАЗ,Серый,ВАЗ 2112 и модификации,"В-класс (малый) до 3,9 м",Пассажир,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""",Unsatisfactory Absence of Road Conditions
359,2540526,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.577049, 'long': 44.583828}",Малгобекский район,610.0,"Малгобек-с. Вежарий-юрт, 8 км",['Туман'],Съезд с дороги,2021-01-27 18:55:00,Тяжёлый,0,2,Республика Ингушетия,2,['Все участники'],POINT (44.583828 43.577049),,,,2009.0,ВАЗ,Черный,Priora,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",11.0,"""Non-compliance with Speed under Specific Traffic Conditions""","""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""","""Absence, Dry, Poor Road Conditions"""
360,2540540,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.504892, 'long': 44.569227}",Малгобекский район,940.0,"г Малгобек, ул Кошевого, 41",['Пасмурно'],Наезд на препятствие,2021-01-02 00:50:00,Легкий,0,2,Республика Ингушетия,2,['Все участники'],POINT (44.569227 43.504892),,,,2011.0,ВАЗ,Желтый,Прочие модели ВАЗ,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Скончался при транспортировке,10.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Residential Areas with Individual Houses,"""Absence, Dry, Poor Road Conditions"""
361,2448447,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.497554, 'long': 44.601477}",Малгобекский район,500.0,"г Малгобек, ул Физкультурная, 3",['Ясно'],Столкновение,2020-02-28 08:00:00,С погибшими,1,1,Республика Ингушетия,2,['Все участники'],POINT (44.601477 43.497554),,,,1999.0,ВАЗ,Серый," Жигули  ВАЗ-2108, 09 и модификации                       ","С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",33.0,"""Non-compliance with Speed under Specific Traffic Conditions""","""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Poor Visibility and Bad Road Condition"""
362,2448406,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.382819, 'long': 44.739417}",Малгобекский район,610.0,"с Средние Ачалуки, Назрань-Малгобек-Н. Курп-Терек, 26 км",['Пасмурно'],Наезд на препятствие,2017-12-31 23:50:00,Легкий,0,1,Республика Ингушетия,1,['Все участники'],POINT (44.739417 43.382819),,,,2009.0,ВАЗ,Серый,Priora,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Скончался в течение 1 суток,44.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Petrol Station Accidents,Absence of Lighting on Dry Roads
363,2448430,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.498482, 'long': 44.598235}",Малгобекский район,200.0,"г Малгобек, ул Физкультурная, 12",['Пасмурно'],Столкновение,2016-12-29 22:05:00,С погибшими,1,1,Республика Ингушетия,2,['Все участники'],POINT (44.598235 43.498482),,,,2011.0,ИЖ,Зеленый,Прочие модели ИЖ,Легковые автомобили (без типа),Водитель,Мужской,Не пострадал,14.0,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Poor Visibility and Bad Road Condition"""
364,2448436,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.479679, 'long': 44.735773}",Малгобекский район,220.0,"Назрань-Малгобек-Н. Курп-Терек, 42 км",['Ясно'],Столкновение,2016-12-12 18:00:00,Тяжёлый,0,1,Республика Ингушетия,2,['Все участники'],POINT (44.735773 43.479679),,,,2008.0,MERCEDES,Зеленый,Sprinter,Грузовые автомобили (без типа),Водитель,,Не пострадал,,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""",Absence of Lighting on Dry Roads
365,2449470,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.330196, 'long': 44.688671}",Малгобекский район,900.0,"с Верхние Ачалуки, ул Бекова, 11",['Ясно'],Наезд на животное,2020-07-12 18:45:00,Легкий,0,1,Республика Ингушетия,2,['Все участники'],POINT (44.688671 43.330196),,,,1998.0,ВАЗ,Красный,"ВАЗ 2110, 21101, 21102, 21103, 21108","С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Не пострадал,8.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Dry Road Conditions"""
366,2448362,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.5084, 'long': 44.6224}",Малгобекский район,420.0,"г Малгобек, ул 65 лет победы, 37",['Ясно'],Столкновение,2017-06-06 12:30:00,Тяжёлый,0,1,Республика Ингушетия,2,['Все участники'],POINT (44.6224 43.5084),,,,2010.0,ВАЗ,Белый,ВАЗ 2115 и модификации,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",5.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Poor Visibility and Bad Road Condition"""
367,2448408,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.479713, 'long': 44.810187}",Малгобекский район,300.0,"с Новый Редант, Зязиков-Юрт-Гарагорск, 6 км","['Пасмурно', 'Туман']",Столкновение,2017-12-29 22:25:00,Легкий,0,1,Республика Ингушетия,2,['Все участники'],POINT (44.810187 43.479713),,,,2001.0,ВАЗ,Серый," Жигули  ВАЗ-2108, 09 и модификации                       ","С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Скончался на месте ДТП до приезда скорой медицинской помощи,8.0,"""Accident Due to Control by Person Without Driving Rights""","""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Absence in Necessary Features of Road"""
368,2449092,['Дорожно-транспортные происшествия'],"В темное время суток, освещение не включено","{'lat': 43.356259, 'long': 44.719882}",Малгобекский район,200.0,"с Верхние Ачалуки, ул Бекова, 28",['Ясно'],Столкновение,2017-04-02 21:25:00,С погибшими,1,0,Республика Ингушетия,2,['Все участники'],POINT (44.719882 43.356259),,,,2002.0,ВАЗ,Серый," Жигули  ВАЗ-2108, 09 и модификации                       ","С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",10.0,Speed Limit Violation,"""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,Unsatisfactory Absence of Road Conditions
369,2449152,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': None, 'long': None}",Малгобекский район,600.0,"Назрань-Малгобек-Н. Курп-Терек, 56 км",['Ясно'],Съезд с дороги,2015-04-14 05:30:00,Тяжёлый,0,1,Республика Ингушетия,1,['Все участники'],,,,,2001.0,ВАЗ,Иные цвета," Жигули  ВАЗ-2108, 09 и модификации                       ","С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,Не пострадал,,"""Accident Due to Control by Person Without Driving Rights""","""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Dry Road Conditions"""
370,2491521,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.479705, 'long': 44.732981}",Малгобекский район,70.0,"Назрань-Малгобек-Н. Курп-Терек, 42 км",['Ясно'],Столкновение,2020-09-01 05:35:00,Легкий,0,1,Республика Ингушетия,2,['Все участники'],POINT (44.732981 43.479705),,,,2004.0,ВАЗ,Коричневый,ВАЗ 2114 и модификации,"В-класс (малый) до 3,9 м",Пассажир,Мужской,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""","""Absence, Dry, Poor Road Conditions"""
371,2505588,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']",Светлое время суток,"{'lat': 43.494433, 'long': 44.581146}",Малгобекский район,920.0,"с Пседах, ул Малгобекская, 85",['Ясно'],Наезд на стоящее ТС,2020-10-16 09:00:00,Легкий,0,5,Республика Ингушетия,6,"['Все участники', 'Пешеходы', 'Дети']",POINT (44.581146 43.494433),Пешеход,Женский,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",2009.0,ВАЗ,Серый,ВАЗ 2114 и модификации,"В-класс (малый) до 3,9 м",Водитель,Мужской,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",,"""Accident Due to Control by Person Without Driving Rights""","""Unknown Pedestrian Violations in Car Accidents""",Residential Areas with Individual Houses,"""Poor Visibility and Bad Road Condition"""
372,2505610,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.524095, 'long': 44.580417}",Малгобекский район,610.0,"г Малгобек, Малгобек-с. Вежарий-юрт, 2 км",['Ясно'],Съезд с дороги,2020-10-03 16:05:00,Легкий,0,1,Республика Ингушетия,1,['Все участники'],POINT (44.580417 43.524095),,,,2012.0,LEXUS,Белый,LX,"D-класс (средний) до 4,6 м",Пассажир,Мужской,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""","""Dry Road Conditions"""
373,2448575,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.478574, 'long': 44.716246}",Малгобекский район,210.0,"Назрань-Малгобек-Н. Курп-Терек, 43 км",['Ясно'],Столкновение,2018-01-17 10:00:00,Легкий,0,2,Республика Ингушетия,4,['Все участники'],POINT (44.716246 43.478574),,,,2012.0,ВАЗ,Иные цвета,Granta (Гранта),"В-класс (малый) до 3,9 м",Пассажир,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""","""Absence, Dry, Poor Road Conditions"""
374,2449184,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.345493, 'long': 44.694938}",Малгобекский район,910.0,"с Верхние Ачалуки, ул Бекова, 18",['Ясно'],Наезд на стоящее ТС,2016-05-07 14:20:00,Тяжёлый,0,2,Республика Ингушетия,3,['Все участники'],POINT (44.694938 43.345493),,,,2003.0,ВАЗ,Иные цвета," Жигули  ВАЗ-2108, 09 и модификации                       ","С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",,"""Accident Due to Control by Person Without Driving Rights""","""Unknown Pedestrian Violations in Car Accidents""",Residential Areas with Individual Houses,"""Dry Road Conditions"""
375,2448943,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.466584, 'long': 44.576223}",Малгобекский район,610.0,"с Пседах, ул Комсомольская, 27",['Ясно'],Наезд на препятствие,2018-04-28 22:50:00,Тяжёлый,0,1,Республика Ингушетия,1,['Все участники'],POINT (44.576223 43.466584),,,,2000.0,ВАЗ,Желтый, Жигули  ВАЗ-2106 модификации,"В-класс (малый) до 3,9 м",Водитель,Мужской,Скончался в течение 1 суток,40.0,Speed Limit Violation,"""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,"""Absence in Necessary Features of Road"""
376,2540534,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.479705, 'long': 44.657621}",Малгобекский район,600.0,"Назрань-Малгобек-Н. Курп-Терек, 49 км",['Ясно'],Съезд с дороги,2021-01-21 11:40:00,С погибшими,1,0,Республика Ингушетия,1,['Все участники'],POINT (44.657621 43.479705),,,,2013.0,ВАЗ,Белый,Priora,"С-класс (малый средний, компактный) до 4,3 м",Пассажир,,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""","""Dry Road Conditions"""
377,2448941,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.356437, 'long': 44.714175}",Малгобекский район,600.0,"с Верхние Ачалуки, ул Садовая, 3",['Ясно'],Опрокидывание,2018-04-29 09:00:00,Легкий,0,3,Республика Ингушетия,3,['Все участники'],POINT (44.714175 43.356437),,,,2003.0,ВАЗ,Серый," Жигули  ВАЗ-2108, 09 и модификации                       ","С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",6.0,"""Non-compliance with Speed under Specific Traffic Conditions""","""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Absence in Necessary Features of Road"""
378,2448598,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': None, 'long': None}",Малгобекский район,820.0,"Назрань-Малгобек-Н. Курп-Терек, 28 км",['Пасмурно'],Наезд на пешехода,2015-09-11 16:55:00,С погибшими,1,2,Республика Ингушетия,3,"['Все участники', 'Пешеходы']",,Пешеход,Женский,Скончался в течение 1 суток,2006.0,ВАЗ,Черный,ВАЗ 2115 и модификации,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"Скончался на месте ДТП по прибытию скорой медицинской помощи, но до транспортировки в мед. организацию",3.0,"""Excessive Speed and Unsafe Lane Departure""","""Pedestrian Crosswalk Violation at an Unspecified Location Near Visible Intersection Zone""",Residential Area Unregulated Individual Houses,"""Poor Visibility and Bad Road Condition"""
379,2448832,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.479556, 'long': 44.68752}",Малгобекский район,210.0,"Назрань-Малгобек-Н. Курп-Терек, 43 км",['Ясно'],Столкновение,2018-02-02 15:10:00,С погибшими,3,2,Республика Ингушетия,5,['Все участники'],POINT (44.68752 43.479556),,,,2010.0,ВАЗ,Зеленый,Priora,"В-класс (малый) до 3,9 м",Пассажир,Женский,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""","""Absence, Dry, Poor Road Conditions"""
380,2505589,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']","В темное время суток, освещение включено","{'lat': 43.503741, 'long': 44.583625}",Малгобекский район,140.0,"г Малгобек, ул Осканова, 3",['Пасмурно'],Столкновение,2020-10-02 22:30:00,Легкий,0,4,Республика Ингушетия,5,"['Все участники', 'Дети']",POINT (44.583625 43.503741),,,,2007.0,ВАЗ,Серый,"ВАЗ 2111, 21110 (универсал), 21113, 21114","В-класс (малый) до 3,9 м",Водитель,Мужской,Не пострадал,3.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Wet Roads Accidents"""
381,2448357,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']",Светлое время суток,"{'lat': 43.34635, 'long': 44.695771}",Малгобекский район,810.0,"с Верхние Ачалуки, ул Бекова",['Ясно'],Наезд на пешехода,2017-06-27 14:15:00,Тяжёлый,0,1,Республика Ингушетия,2,"['Все участники', 'Пешеходы', 'Дети']",POINT (44.695771 43.34635),Пешеход,Женский,"Раненый, находящийся (находившийся) на стационарном лечении",2011.0,ВАЗ,Белый,Priora,"С-класс (малый средний, компактный) до 4,3 м",Пассажир,Женский,"Раненый, находящийся (находившийся) на стационарном лечении",,Unknown Violations in Car Accidents,"""Pedestrian Crosswalk Violation at an Unspecified Location Near Visible Intersection Zone""",Residential Area Unregulated Individual Houses,"""Dry Road Conditions"""
382,2540538,['Дорожно-транспортные происшествия'],Сумерки,"{'lat': 43.485092, 'long': 44.578743}",Малгобекский район,120.0,"с Пседах, ул Толстого, 3",['Ясно'],Столкновение,2021-01-07 15:55:00,Тяжёлый,0,3,Республика Ингушетия,4,['Все участники'],POINT (44.578743 43.485092),,,,2017.0,ВАЗ,Черный,Vesta (Веста),"В-класс (малый) до 3,9 м",Пассажир,Мужской,Не пострадал,,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Unregulated Intersection Street Accidents,Unsatisfactory Absence of Road Conditions
383,2548810,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.517078, 'long': 44.7524}",Малгобекский район,830.0,"Зязиков-юрт-Вознесеновская, 5 км",['Пасмурно'],Наезд на пешехода,2021-02-22 18:50:00,Тяжёлый,0,1,Республика Ингушетия,3,"['Все участники', 'Пешеходы']",POINT (44.7524 43.517078),Пешеход,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",2001.0,HONDA,Серый,City,"В-класс (малый) до 3,9 м",Водитель,Мужской,Не пострадал,10.0,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Lack of Reflective Elements Violation""",Residential Areas with Individual Houses,Unsatisfactory Absence of Road Conditions
384,2548816,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.416582, 'long': 44.765167}",Малгобекский район,210.0,"с Нижние Ачалуки, ул Шоссейная, 0",['Пасмурно'],Столкновение,2021-02-15 18:00:00,Тяжёлый,0,3,Республика Ингушетия,5,['Все участники'],POINT (44.765167 43.416582),,,,1996.0,HONDA,Серый,FIT,"С-класс (малый средний, компактный) до 4,3 м",Пассажир,Женский,"Раненый, находящийся (находившийся) на стационарном лечении",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Residential Areas with Individual Houses,"""Absence, Dry, Poor Road Conditions"""
385,2449448,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']",Светлое время суток,"{'lat': 43.392107, 'long': 44.629088}",Малгобекский район,200.0,"с/п Средние Ачалуки, тр. Кавказ-Карабулак-Ср. Ачалуки-Гайрбек-Юрт, 3 км",['Ясно'],Столкновение,2016-07-09 15:35:00,С погибшими,1,6,Республика Ингушетия,8,"['Все участники', 'Дети']",POINT (44.629088 43.392107),,,,2010.0,FORD,Серый,Mondeo,Легковые автомобили (без типа),Водитель,Мужской,Не пострадал,40.0,"""Non-compliance with Speed under Specific Traffic Conditions""","""Unknown Pedestrian Violations in Car Accidents""","""Uknown Area Car Accidents""","""Absence, Dry, Poor Road Conditions"""
386,2448894,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.371818, 'long': 44.729247}",Малгобекский район,830.0,"с Средние Ачалуки, ул Рабочая, 11",['Ясно'],Наезд на пешехода,2020-01-27 20:30:00,Тяжёлый,0,1,Республика Ингушетия,2,"['Все участники', 'Пешеходы']",POINT (44.729247 43.371818),Пешеход,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",1993.0,VOLKSWAGEN,Черный,Golf,"С-класс (малый средний, компактный) до 4,3 м",Пассажир,Мужской,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",,Unknown Violations in Car Accidents,"""Other Pedestrian Violations""",Unregulated Intersection Street Accidents,"""Poor Visibility and Bad Road Condition"""
387,2448953,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': None, 'long': None}",Малгобекский район,200.0,"г Малгобек, ул Физкультурная, 122",['Ясно'],Столкновение,2018-04-09 17:50:00,С погибшими,1,3,Республика Ингушетия,4,['Все участники'],,,,,2006.0,ГАЗ,Иные цвета,"ГАЗ 3102, 3102-101, 3102-311","С-класс (малый средний, компактный) до 4,3 м",Пассажир,Женский,"Раненый, находящийся (находившийся) на стационарном лечении",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Poor Visibility and Bad Road Condition"""
388,2448900,['Дорожно-транспортные происшествия'],"В темное время суток, освещение отсутствует","{'lat': 43.448277, 'long': 44.764438}",Малгобекский район,200.0,"с/п Нижние Ачалуки, Назрань-Малгобек-Н. Курп-Терек, 39 км",['Ясно'],Столкновение,2020-01-07 17:55:00,Тяжёлый,0,3,Республика Ингушетия,3,['Все участники'],POINT (44.764438 43.448277),,,,2015.0,ВАЗ,Белый,Granta (Гранта),"В-класс (малый) до 3,9 м",Водитель,Мужской,"Раненый, находящийся (находившийся) на стационарном лечении",,"""Accident Due to Control by Person Without Driving Rights""","""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Dry Road Conditions"""
389,2448443,"['Дорожно-транспортные происшествия', 'ДТП и пострадавшие дети в возрасте до 16 лет']","В темное время суток, освещение включено","{'lat': 43.511841, 'long': 44.585921}",Малгобекский район,500.0,"г Малгобек, ул Осканова, 11",['Ясно'],Столкновение,2020-02-25 22:10:00,Тяжёлый,0,3,Республика Ингушетия,4,"['Все участники', 'Дети']",POINT (44.585921 43.511841),,,,2008.0,ВАЗ,Серый,Kalina,"В-класс (малый) до 3,9 м",Пассажир,Женский,"Раненый, находящийся (находившийся) на стационарном лечении",,Unknown Violations in Car Accidents,"""Unknown Pedestrian Violations in Car Accidents""",Regulated Intersection Pedestrian Crossing Accidents,"""Dry Road Conditions"""
390,2448951,['Дорожно-транспортные происшествия'],"В темное время суток, освещение включено","{'lat': 43.468752, 'long': 44.551884}",Малгобекский район,,"с Инарки, ул Укурова, 12",['Ясно'],Столкновение,2018-04-15 21:30:00,С погибшими,1,1,Республика Ингушетия,3,['Все участники'],POINT (44.551884 43.468752),,,,2010.0,TOYOTA,Белый,Land Cruiser,Минивэны и универсалы повышенной вместимости,Пассажир,Мужской,"Раненый, находящийся (находившийся) на амбулаторном лечении, либо в условиях дневного стационара",,"""Violation of Traffic Rules and Failure to Yield Right of Way""","""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Absence, Dry, Poor Road Conditions"""
391,2491510,['Дорожно-транспортные происшествия'],Светлое время суток,"{'lat': 43.422567, 'long': 44.768729}",Малгобекский район,140.0,"с Нижние Ачалуки, ул Шоссейная, 138",['Ясно'],Столкновение,2020-09-15 08:45:00,Легкий,0,3,Республика Ингушетия,3,['Все участники'],POINT (44.768729 43.422567),,,,2007.0,ВАЗ,Зеленый,ВАЗ 2112 и модификации,"С-класс (малый средний, компактный) до 4,3 м",Водитель,Мужской,"Раненый, находящийся (находившийся)  на амбулаторном лечении, либо которому по характеру полученных травм обозначена необходимость амбулаторного лечения (вне зависимости от его фактического прохождения)",,"""Accident Due to Control by Person Without Driving Rights""","""Unknown Pedestrian Violations in Car Accidents""",Residential Area Unregulated Individual Houses,"""Dry Road Conditions"""
